policy_id,age,gender,start_date,deferral_years,initial_value,rider_type,has_death_benefit,death_benefit_type,has_beneficiary,me_fees,admin_fees,rider_fees,death_benefit_fees,total_fees,status
P00026,62,F,2023-09-05,5,86000,GMIB,True,SteppedUp,True,0.01510490637403725,0.00207941725063631,0.007396983019725691,0.0031165578886703936,0.027697864533069647,deferred
P00027,52,M,2015-11-08,0,226000,GMIB,True,AccountValue,False,0.013063546470239357,0.0011363892716261443,0.008947322766482033,0.0,0.023147258508347535,payout
P00028,65,F,2019-01-09,0,162000,GMWB,False,None,False,0.009077260060298426,0.0029628262110814527,0.0062865223585070054,0.0,0.018326608629886883,payout
P00029,57,M,2021-12-02,0,71000,None,True,AccountValue,True,0.011210252195411337,0.002003057481356746,0.0,0.0,0.013213309676768082,payout
P00030,59,F,2018-06-09,10,260000,GMWB,True,AccountValue,True,0.013884154173808012,0.002203528462787207,0.006370593549275316,0.0,0.022458276185870537,deferred
P00031,57,M,2018-12-20,5,90000,GMWB,True,AccountValue,False,0.013310040735401773,0.0021416834112276163,0.0072750005183625415,0.0,0.02272672466499193,payout
P00032,76,F,2024-02-23,15,147000,GMIB,True,ReturnOfPremium,True,0.0165083069274479,0.001406257543944622,0.007669492096801285,0.003224939784809525,0.028808996353003335,deferred
P00033,61,M,2018-12-22,5,61000,None,True,AccountValue,True,0.011355887037915369,0.002085294414038213,0.0,0.0,0.013441181451953582,payout
P00034,53,M,2012-01-09,5,50000,GMWB,True,ReturnOfPremium,True,0.014648683285677023,0.002068402322923018,0.0085438010703347,0.0027849245937240177,0.02804581127265876,payout
P00035,68,M,2017-09-11,20,133000,GMIB,True,ReturnOfPremium,True,0.01697432271807893,0.0015566677065941305,0.008061911368225285,0.002297266488495891,0.02889016828139424,deferred
P00036,52,M,2015-06-07,5,210000,None,False,None,False,0.008727815460955265,0.0027353259270342847,0.0,0.0,0.01146314138798955,payout
P00037,63,F,2011-07-19,10,108000,None,True,AccountValue,True,0.010093139526484957,0.0011550496976508464,0.0,0.0,0.011248189224135804,payout
P00038,46,F,2021-03-26,10,50000,GMWB,True,ReturnOfPremium,True,0.012821840281153856,0.0025121117717733653,0.009313485247438255,0.003882403988873012,0.028529841289238488,deferred
P00039,51,M,2019-10-06,5,118000,GMIB,True,ReturnOfPremium,True,0.016418208619184898,0.0012367129999877008,0.009129289409687345,0.0020348717179263284,0.028819082746786275,payout
P00040,63,F,2009-12-12,5,94000,None,True,AccountValue,True,0.008200221291191415,0.0017030837299324014,0.0,0.0,0.009903305021123817,payout
P00041,67,M,2012-09-14,0,54000,GMWB,True,ReturnOfPremium,False,0.015841885039667287,0.0024959953974417683,0.009366946203686824,0.0023914434433180165,0.030096270084113894,payout
P00042,63,M,2021-07-07,0,102000,GMWB,True,ReturnOfPremium,False,0.012969688300094337,0.0022450812795968837,0.009793533989352173,0.002582419027960539,0.02759072259700393,payout
P00043,61,M,2019-08-19,20,50000,None,True,AccountValue,False,0.009439666334661416,0.001543932127095959,0.0,0.0,0.010983598461757374,deferred
P00044,59,F,2021-01-28,0,83000,None,True,AccountValue,True,0.009626648386591698,0.001541541766674758,0.0,0.0,0.011168190153266457,payout
P00045,50,M,2014-12-08,20,50000,GMWB,True,AccountValue,True,0.012218893084614671,0.002285999742712224,0.007213387355766945,0.0,0.021718280183093838,deferred
P00046,56,F,2014-12-18,10,82000,None,False,None,False,0.005100445912629056,0.0021558598346854297,0.0,0.0,0.007256305747314486,payout
P00047,58,M,2013-07-11,15,152000,GMWB,True,AccountValue,True,0.013214286712367589,0.002664762429389542,0.008524100043635028,0.0,0.02440314918539216,deferred
P00048,70,M,2012-06-10,0,82000,None,True,AccountValue,True,0.010147781850166892,0.0021762936445681017,0.0,0.0,0.012324075494734993,payout
P00049,64,M,2011-05-12,5,141000,GMIB,True,AccountValue,True,0.014775870789264041,0.0017048412149358344,0.009775276567547654,0.0,0.02625598857174753,payout
P00050,47,M,2017-10-28,15,53000,None,True,AccountValue,True,0.010147889103117844,0.0021153275482262606,0.0,0.0,0.012263216651344104,deferred
P00051,64,M,2022-10-04,10,122000,GMWB,True,AccountValue,False,0.01452935927146073,0.002168696045098492,0.007208703777382941,0.0,0.02390675909394216,deferred
P00052,58,M,2020-06-11,10,97000,GMWB,True,AccountValue,True,0.012110873512516026,0.0020799097874227503,0.008076626543494874,0.0,0.02226740984343365,deferred
P00053,56,M,2019-11-10,5,95000,GMIB,True,AccountValue,True,0.014482318266177853,0.0028215115066242157,0.012866766581602794,0.0,0.03017059635440486,payout
P00054,66,F,2024-10-07,5,83000,None,False,None,False,0.005112610420948671,0.0024368670773308467,0.0,0.0,0.007549477498279517,deferred
P00055,70,M,2015-06-01,5,50000,None,True,AccountValue,True,0.00950170963199464,0.0023771219535433227,0.0,0.0,0.011878831585537961,payout
P00056,69,F,2017-05-21,15,118000,GMWB,True,ReturnOfPremium,True,0.01428805772830473,0.0010317536478282807,0.01184711671626902,0.0031862647059877746,0.030353192798389807,deferred
P00057,55,M,2015-06-22,10,63000,GMWB,True,SteppedUp,True,0.014182510297013567,0.0010589084914037928,0.00817070606309463,0.005384843478184324,0.028796968329696318,payout
P00058,59,F,2024-04-03,5,70000,GMWB,True,AccountValue,False,0.014043918294108526,0.0027493043580842143,0.008067325789575811,0.0,0.024860548441768552,deferred
P00059,64,M,2014-08-21,5,138000,GMIB,False,None,False,0.011212072543288881,0.0021551497444562587,0.007473669964369388,0.0,0.020840892252114527,payout
P00060,69,M,2023-06-21,15,53000,None,True,AccountValue,True,0.009850354221690595,0.0014404089210845407,0.0,0.0,0.011290763142775136,deferred
P00061,58,F,2020-09-11,10,73000,None,True,AccountValue,True,0.011428067495952751,0.00275990767324231,0.0,0.0,0.014187975169195061,deferred
P00062,60,M,2022-10-19,10,96000,GMWB,True,ReturnOfPremium,True,0.015506425009022228,0.0019973072458218536,0.008039463131961416,0.0022184652868526542,0.02776166067365815,deferred
P00063,53,F,2021-09-22,5,80000,GMWB,True,ReturnOfPremium,True,0.015814501961335506,0.0012592763305095216,0.0077408728921376955,0.0022104430658227807,0.027025094249805506,deferred
P00064,52,F,2022-01-06,5,73000,GMWB,True,AccountValue,True,0.014153821044083493,0.002836304027492478,0.009322106475149286,0.0,0.026312231546725254,deferred
P00065,68,M,2015-04-21,5,99000,GMWB,True,SteppedUp,True,0.014189154541903514,0.0010172224556410335,0.010368752362716963,0.005764259954972208,0.031339389315233716,payout
P00066,72,F,2024-03-25,15,118000,GMWB,True,AccountValue,True,0.015056594373804777,0.0012955343095486765,0.011365156293661912,0.0,0.027717284977015366,deferred
P00067,61,F,2007-06-18,0,227000,None,True,AccountValue,True,0.011166099120925347,0.0028613077931566415,0.0,0.0,0.014027406914081988,payout
P00068,70,F,2012-09-26,5,167000,GMWB,True,ReturnOfPremium,True,0.0133091249885477,0.0027004740153791377,0.008752818123271285,0.0021031784851658812,0.026865595612364002,payout
P00069,64,F,2022-12-28,10,201000,None,True,AccountValue,True,0.008966240504435277,0.0022572542270778507,0.0,0.0,0.011223494731513128,deferred
P00070,56,F,2017-08-13,15,94000,GMIB,True,ReturnOfPremium,True,0.01645899689998619,0.001850649311537499,0.007855710343626029,0.002203870758515752,0.028369227313665472,deferred
P00071,64,M,2015-10-09,20,85000,GMIB,False,None,False,0.009464171829272745,0.0024116336877310204,0.00950119668367903,0.0,0.021377002200682796,deferred
P00072,74,F,2006-10-17,20,110000,None,True,AccountValue,True,0.010782967204550525,0.0016429628378026692,0.0,0.0,0.012425930042353194,deferred
P00073,61,M,2021-08-10,5,122000,None,False,None,False,0.008055591905257183,0.0019996287532632116,0.0,0.0,0.010055220658520395,deferred
P00074,74,M,2017-11-16,15,78000,GMWB,True,AccountValue,True,0.014279433177478755,0.0021546933393344495,0.007834667466842422,0.0,0.024268793983655626,deferred
P00075,45,F,2011-07-10,5,64000,GMWB,True,AccountValue,True,0.01598602887800514,0.002384623987160179,0.011927356172523279,0.0,0.030298009037688596,payout
P00076,68,F,2016-12-09,5,50000,GMWB,True,ReturnOfPremium,True,0.015501419539029383,0.0015217120263545372,0.006335457417119575,0.0029150550025334233,0.02627364398503692,payout
P00077,62,M,2012-09-26,15,171000,None,True,AccountValue,True,0.008312611294057191,0.0010848588224885204,0.0,0.0,0.009397470116545712,deferred
P00078,59,F,2016-11-17,10,123000,GMWB,True,AccountValue,False,0.014588675270824261,0.001814670328019078,0.008878077201598236,0.0,0.025281422800441575,deferred
P00079,62,M,2013-10-15,10,214000,None,True,AccountValue,True,0.008888056695792007,0.002473369961068245,0.0,0.0,0.011361426656860253,payout
P00080,46,M,2024-04-18,5,108000,GMWB,True,SteppedUp,True,0.012160712744995675,0.0020655459238620054,0.006548697885210645,0.003752905520478909,0.024527862074547234,deferred
P00081,60,F,2021-06-11,5,50000,GMIB,True,AccountValue,True,0.014247681443614678,0.002038304901492233,0.011222547865026397,0.0,0.027508534210133308,deferred
P00082,64,F,2017-05-09,0,154000,GMIB,True,AccountValue,True,0.01467361384687615,0.0010803593926397709,0.010974876584899372,0.0,0.026728849824415292,payout
P00083,73,M,2013-04-02,0,127000,GMIB,True,ReturnOfPremium,True,0.015588458579432158,0.0018538325025250942,0.01004781724624486,0.003442252092871713,0.030932360421073824,payout
P00084,57,M,2009-02-05,10,112000,GMWB,True,ReturnOfPremium,True,0.01218813058233155,0.0011793145855424508,0.01139284007428069,0.0032176923193266496,0.02797797756148134,payout
P00085,55,M,2023-05-01,0,124000,GMIB,True,AccountValue,True,0.016013332324215788,0.0024578754775841515,0.010481538209471728,0.0,0.028952746011271666,payout
P00086,57,F,2024-03-14,5,50000,GMWB,True,AccountValue,True,0.01272312400787556,0.001365735399106823,0.009182397687724714,0.0,0.0232712570947071,deferred
P00087,69,M,2021-11-20,5,161000,None,True,AccountValue,False,0.011614867004018339,0.0013347992013980823,0.0,0.0,0.01294966620541642,deferred
P00088,64,M,2015-11-17,10,50000,None,False,None,False,0.008471676708588756,0.002007622528757142,0.0,0.0,0.010479299237345897,deferred
P00089,57,F,2015-01-18,10,134000,GMWB,True,ReturnOfPremium,False,0.01332419690786792,0.0018417295111603478,0.00920544897174508,0.0037222391099526663,0.028093614500726012,payout
P00090,66,M,2023-03-15,10,110000,None,True,AccountValue,True,0.01014365947919366,0.0022495633225736006,0.0,0.0,0.01239322280176726,deferred
P00091,62,M,2020-01-18,0,50000,None,True,AccountValue,True,0.008397700958580877,0.002485973195037724,0.0,0.0,0.010883674153618602,payout
P00092,69,F,2020-05-28,10,50000,GMWB,True,AccountValue,False,0.01289904231677078,0.002696960810964274,0.010760277393043874,0.0,0.026356280520778926,deferred
P00093,56,F,2024-10-20,10,112000,None,True,AccountValue,True,0.011577646563273588,0.002431269055246045,0.0,0.0,0.014008915618519633,deferred
P00094,59,F,2021-07-23,5,50000,None,True,AccountValue,True,0.00922598607790978,0.002856488073621472,0.0,0.0,0.012082474151531252,deferred
P00095,58,M,2019-05-07,0,142000,None,False,None,False,0.00852009243422029,0.001123562984651311,0.0,0.0,0.009643655418871602,payout
P00096,50,F,2024-07-24,10,50000,None,True,AccountValue,True,0.008314116319746802,0.002766545864400856,0.0,0.0,0.011080662184147657,deferred
P00097,64,F,2022-02-05,5,70000,GMIB,True,ReturnOfPremium,True,0.016884490462470935,0.0016130761491443537,0.007704788247598642,0.002163349093071211,0.028365703952285146,deferred
P00098,64,M,2023-04-15,5,140000,GMIB,True,AccountValue,True,0.014839411685893965,0.0012054652737113723,0.010051991830489507,0.0,0.026096868790094846,deferred
P00099,62,F,2006-04-27,15,62000,GMWB,True,SteppedUp,False,0.01500536979680119,0.002642985575508222,0.011991886510640058,0.0035610346703066568,0.03320127655325613,payout
P00100,60,M,2013-03-02,0,69000,GMWB,False,None,False,0.010435816869421386,0.0022227001814292277,0.009987582876771506,0.0,0.02264609992762212,payout
P00101,50,F,2024-08-19,5,64000,GMWB,True,AccountValue,True,0.014593410842668682,0.0022293427601599507,0.00949229680367807,0.0,0.026315050406506703,deferred
P00102,58,F,2022-02-17,10,108000,GMIB,False,None,False,0.010314639546225683,0.0011531440334560847,0.007972404100827534,0.0,0.019440187680509303,deferred
P00103,59,F,2022-12-22,15,202000,GMIB,True,SteppedUp,True,0.01386814540369798,0.0029041194165884336,0.008739416739584201,0.0037877619999153052,0.02929944355978592,deferred
P00104,55,M,2016-04-07,15,144000,GMWB,True,AccountValue,True,0.014861851015768927,0.0028108212020190814,0.01053750075895886,0.0,0.028210172976746866,deferred
P00105,60,F,2009-04-09,10,55000,None,True,AccountValue,True,0.008785555062824078,0.002051210240638203,0.0,0.0,0.010836765303462281,payout
P00106,65,M,2017-01-07,15,109000,None,False,None,False,0.00899683553734724,0.0014118208788128567,0.0,0.0,0.010408656416160096,deferred
P00107,77,F,2023-08-03,5,65000,None,True,AccountValue,False,0.011279376558494751,0.0029673179093664117,0.0,0.0,0.014246694467861164,deferred
P00108,63,F,2024-05-22,5,291000,GMWB,True,ReturnOfPremium,True,0.012524453051270897,0.0013087413923856342,0.010831711110739226,0.0026807561841259153,0.027345661738521675,deferred
P00109,64,M,2012-09-23,20,160000,None,True,AccountValue,True,0.009277498629454995,0.0028730166585445396,0.0,0.0,0.012150515287999535,deferred
P00110,61,M,2008-06-27,0,55000,None,True,AccountValue,True,0.009542261667668986,0.0016228908710341611,0.0,0.0,0.011165152538703147,payout
P00111,46,F,2017-12-09,20,122000,GMIB,False,None,False,0.011773212714106801,0.002666218999246839,0.012014377066620377,0.0,0.026453808779974018,deferred
P00112,61,F,2012-11-14,0,228000,GMWB,True,AccountValue,True,0.01585469280875231,0.0015830591835017005,0.011139680249316632,0.0,0.028577432241570642,payout
P00113,62,F,2012-06-09,15,181000,GMWB,True,ReturnOfPremium,False,0.014480352244223359,0.0029729272767161567,0.010027526103534171,0.0037662598538644853,0.031247065478338172,deferred
P00114,80,M,2024-01-22,10,255000,None,False,None,False,0.007437500341939074,0.0019908115453143435,0.0,0.0,0.009428311887253418,deferred
P00115,60,F,2014-07-10,5,204000,GMWB,True,ReturnOfPremium,True,0.015487643913651485,0.002263629892166634,0.011088787951929146,0.003917337060620925,0.032757398818368186,payout
P00116,64,M,2014-02-16,20,147000,GMWB,True,AccountValue,True,0.01489729363321729,0.002494670292154729,0.011251451152307232,0.0,0.02864341507767925,deferred
P00117,61,F,2022-01-02,10,110000,GMIB,True,SteppedUp,True,0.01671657756219986,0.001058971865643775,0.010445645982274347,0.0041763234036425855,0.032397518813760566,deferred
P00118,52,F,2020-09-25,15,72000,None,True,AccountValue,True,0.011050954268496888,0.0020266163701541636,0.0,0.0,0.013077570638651052,deferred
P00119,71,F,2013-01-15,5,146000,GMIB,False,None,False,0.012274044855722154,0.002456053464920909,0.008513876156952087,0.0,0.02324397447759515,payout
P00120,68,M,2009-07-14,10,130000,GMWB,True,ReturnOfPremium,True,0.013203247694209656,0.0015627150098790302,0.006018887525591717,0.0020546442348849427,0.022839494464565346,payout
P00121,68,F,2021-09-17,5,57000,GMWB,True,SteppedUp,True,0.0130579580812507,0.002194637886009069,0.006800240619537735,0.004761004184180367,0.026813840770977874,deferred
P00122,54,M,2019-02-12,20,204000,GMWB,False,None,False,0.010191476555946889,0.0028073741301215503,0.010137207329150182,0.0,0.02313605801521862,deferred
P00123,73,F,2022-02-15,10,66000,GMWB,True,AccountValue,False,0.015853271384181387,0.0021399251569699696,0.010746072158232915,0.0,0.02873926869938427,deferred
P00124,50,F,2019-06-28,10,142000,GMWB,True,ReturnOfPremium,True,0.014291885154476307,0.00287325132659737,0.010152753804790015,0.0025686967686918112,0.0298865870545555,deferred
P00125,66,M,2008-01-04,5,96000,GMWB,True,ReturnOfPremium,True,0.015488440051048626,0.0027178724257889034,0.01004990635726615,0.0030345617231696304,0.031290780557273315,payout
P00126,79,M,2023-07-12,10,58000,None,True,AccountValue,True,0.009670818113243749,0.0016854813446442328,0.0,0.0,0.011356299457887981,deferred
P00127,54,M,2022-01-27,5,257000,GMIB,True,ReturnOfPremium,True,0.01507264773141257,0.0029226342189817103,0.007814595311631763,0.003996926697746966,0.029806803959773007,deferred
P00128,57,F,2017-06-06,15,61000,None,True,AccountValue,True,0.008093802792209673,0.001662427744172756,0.0,0.0,0.00975623053638243,deferred
P00129,62,F,2023-01-12,5,72000,None,True,AccountValue,True,0.008913491066437377,0.0028645977031868317,0.0,0.0,0.011778088769624209,deferred
P00130,57,F,2016-07-28,5,107000,None,True,AccountValue,True,0.008119108224917935,0.0021003602669334813,0.0,0.0,0.010219468491851416,payout
P00131,49,M,2022-07-27,15,50000,GMWB,False,None,False,0.008199776745794172,0.0015157566464648973,0.011446867848266323,0.0,0.021162401240525392,deferred
P00132,62,F,2018-08-11,10,157000,GMIB,False,None,False,0.011220575489148038,0.0012223273550224453,0.011046754848015709,0.0,0.023489657692186194,deferred
P00133,53,F,2019-08-20,10,90000,None,True,AccountValue,True,0.009950821930844915,0.0024428043105775483,0.0,0.0,0.012393626241422463,deferred
P00134,65,M,2018-12-04,10,232000,None,True,AccountValue,False,0.008397534885878842,0.002184599875110858,0.0,0.0,0.0105821347609897,deferred
P00135,54,M,2007-06-02,5,216000,GMWB,True,AccountValue,True,0.013663344919426428,0.001973066940281127,0.009077125373991113,0.0,0.024713537233698665,payout
P00136,74,M,2022-08-02,10,209000,None,False,None,False,0.00697238368207757,0.00215086389161724,0.0,0.0,0.00912324757369481,deferred
P00137,55,F,2019-05-26,10,110000,GMWB,True,ReturnOfPremium,True,0.013725492400436395,0.0015858913646974867,0.00992661459824242,0.0020121723396423555,0.027250170703018654,deferred
P00138,59,F,2016-08-14,10,50000,GMIB,True,AccountValue,True,0.014173322870194694,0.0013972134358761635,0.009425450941120062,0.0,0.024995987247190918,deferred
P00139,68,F,2020-02-03,5,233000,None,True,AccountValue,True,0.009348500751516182,0.002645601514881855,0.0,0.0,0.011994102266398037,payout
P00140,52,F,2017-05-15,5,101000,GMWB,True,ReturnOfPremium,True,0.012504197707437546,0.0024147514999890785,0.00972871824441483,0.0021676403935176124,0.026815307845359068,payout
P00141,63,M,2022-02-13,20,179000,GMWB,True,ReturnOfPremium,True,0.01351153635669256,0.0015476539086478932,0.01105618404576577,0.003197922744053275,0.029313297055159497,deferred
P00142,72,F,2020-04-20,5,50000,None,True,AccountValue,True,0.010964832037931372,0.0019277726728868126,0.0,0.0,0.012892604710818184,payout
P00143,49,M,2012-06-01,15,50000,GMIB,True,ReturnOfPremium,True,0.013449235246100477,0.002113069612304426,0.008834130880416732,0.0024726155727729294,0.026869051311594568,deferred
P00144,63,F,2022-06-16,0,116000,GMIB,True,ReturnOfPremium,True,0.01520371589339986,0.0011635651551010842,0.012517244099667308,0.0028522026376056413,0.03173672778577389,payout
P00145,64,M,2008-09-03,5,116000,None,True,AccountValue,True,0.009206061191403976,0.0019684749677918523,0.0,0.0,0.011174536159195829,payout
P00146,68,M,2013-08-18,5,93000,GMWB,True,AccountValue,True,0.013406116824747747,0.002074825453586521,0.00987379136532139,0.0,0.025354733643655657,payout
P00147,52,F,2008-04-25,10,58000,GMIB,False,None,False,0.012874340068004636,0.0019601614561442736,0.011960087725652416,0.0,0.026794589249801326,payout
P00148,51,M,2021-01-08,15,120000,None,False,None,False,0.0076020436810486204,0.0022762158695644246,0.0,0.0,0.009878259550613045,deferred
P00149,66,F,2019-07-03,10,88000,GMIB,True,AccountValue,True,0.014827388234047984,0.0016180355678766217,0.0071347320157009895,0.0,0.023580155817625598,deferred
P00150,64,F,2023-11-17,0,69000,GMWB,True,ReturnOfPremium,True,0.0132793990134447,0.0026800945959624557,0.006920271791717482,0.002760576540670804,0.02564034194179544,payout
P00151,64,F,2012-05-18,10,116000,None,True,AccountValue,True,0.009705429446345358,0.002089996319371326,0.0,0.0,0.011795425765716685,payout
P00152,64,M,2012-12-16,0,58000,GMIB,True,ReturnOfPremium,False,0.013660822645223426,0.0028147054834426026,0.011426271909525477,0.0028211390281178586,0.030722939066309365,payout
P00153,56,M,2009-11-11,10,120000,GMIB,True,AccountValue,True,0.016551995621044712,0.0020757607987447564,0.012438492159509342,0.0,0.03106624857929881,payout
P00154,63,F,2014-11-26,15,108000,GMWB,True,AccountValue,True,0.013549300957767532,0.0016684219781867083,0.006078686658922202,0.0,0.021296409594876442,deferred
P00155,64,M,2008-09-18,5,50000,None,True,AccountValue,True,0.009462506782618299,0.0019375081555207021,0.0,0.0,0.011400014938139,payout
P00156,56,F,2021-03-09,10,137000,GMIB,True,AccountValue,True,0.014776757138585039,0.0024429357734513297,0.010454769271717955,0.0,0.02767446218375432,deferred
P00157,76,F,2020-10-09,10,59000,GMIB,True,AccountValue,True,0.015819388043116254,0.0012007659244273766,0.007620623223152392,0.0,0.024640777190696024,deferred
P00158,65,F,2018-07-19,0,77000,GMIB,True,AccountValue,True,0.014403769234726721,0.002346114679636558,0.01193049809787342,0.0,0.028680382012236702,payout
P00159,52,F,2024-06-22,5,50000,GMWB,True,ReturnOfPremium,True,0.012773743664891138,0.0010740257259220433,0.010697965312049255,0.0027045318943908253,0.02725026659725326,deferred
P00160,67,M,2023-10-18,10,63000,GMIB,True,ReturnOfPremium,True,0.01409315828511927,0.0010668570186808104,0.010519871502528916,0.0031357870140975453,0.02881567382042654,deferred
P00161,54,F,2015-02-21,0,86000,None,True,AccountValue,True,0.010789656238383027,0.002065393091575348,0.0,0.0,0.012855049329958375,payout
P00162,68,F,2011-10-13,5,111000,GMIB,True,ReturnOfPremium,True,0.013058705787078476,0.002578911226165086,0.009873034260550494,0.0037691435388007206,0.029279794812594778,payout
P00163,71,M,2013-10-17,5,50000,None,True,AccountValue,True,0.011207909274151344,0.0011639600995584898,0.0,0.0,0.012371869373709835,payout
P00164,55,M,2018-03-12,10,58000,GMIB,True,AccountValue,True,0.013789943157318813,0.0017253270960547952,0.009801800022123896,0.0,0.025317070275497504,deferred
P00165,69,F,2021-02-21,20,73000,GMWB,True,SteppedUp,True,0.01285811436342217,0.002152124022227596,0.011909428884005714,0.0037238814886180805,0.03064354875827356,deferred
P00166,65,F,2016-07-14,0,60000,None,True,AccountValue,True,0.009054443424605015,0.0012890066674579846,0.0,0.0,0.010343450092063,payout
P00167,68,F,2023-09-19,0,145000,GMWB,True,AccountValue,True,0.015219738187229062,0.0011510365164996005,0.008182958719802147,0.0,0.02455373342353081,payout
P00168,77,F,2010-10-08,5,134000,GMWB,False,None,False,0.010646364847631977,0.001135204674435804,0.008793907955683675,0.0,0.020575477477751455,payout
P00169,60,F,2015-11-01,10,53000,GMWB,True,AccountValue,True,0.01423201615825878,0.0024213933411027385,0.009108633960480929,0.0,0.025762043459842447,deferred
P00170,55,F,2023-07-17,0,50000,GMWB,False,None,False,0.011673386261688498,0.0025098594805960136,0.008554463873020559,0.0,0.022737709615305073,payout
P00171,54,F,2016-10-05,5,135000,GMIB,True,SteppedUp,True,0.013789881938968634,0.0018359375460558177,0.008365683794615435,0.00465310940704751,0.028644612686687394,payout
P00172,55,M,2022-11-15,0,274000,GMIB,False,None,False,0.011375511390922929,0.002925267216997787,0.011780012029869223,0.0,0.02608079063778994,payout
P00173,61,M,2018-01-19,10,204000,GMWB,True,AccountValue,True,0.014960779884458607,0.0029424733258201293,0.008180989648101187,0.0,0.026084242858379923,deferred
P00174,64,F,2022-08-26,10,97000,GMWB,True,ReturnOfPremium,True,0.014745831597581657,0.0017151242816067377,0.010046847010079471,0.0038954255868251762,0.03040322847609304,deferred
P00175,64,F,2014-04-28,0,86000,GMWB,True,AccountValue,True,0.01318845489459393,0.001006624257739672,0.01081384765080456,0.0,0.02500892680313816,payout
P00176,68,M,2022-06-16,15,140000,GMWB,False,None,False,0.008339118999502468,0.001422127125935193,0.011737095322073154,0.0,0.021498341447510817,deferred
